Time[s]	CLK	Serial IN	Serial OUT
0.000000000000000	1	0	1
4.976340166666667	0	0	1
4.976340208333333	0	0	0
4.976401125000001	1	0	0
4.976462250000000	0	0	0
4.976523208333334	1	0	0
4.976584333333333	1	0	1
4.976584375000001	0	0	1
4.976645291666667	1	0	1
4.976706416666667	0	0	1
4.976706500000001	0	0	0
4.976767416666667	1	0	0
4.976828500000000	1	0	1
4.976828541666667	0	0	1
4.976889500000000	1	0	1
4.976950625000001	0	0	1
4.976950666666667	0	0	0
4.977011583333334	1	0	0
4.977072708333334	0	0	0
4.977133666666667	1	0	0
4.977194791666667	1	0	1
4.977194833333334	0	0	1
4.977255750000000	1	0	1
6.784871250000000	0	0	1
6.784871333333334	0	0	0
6.784932250000001	1	0	0
6.784993375000000	0	0	0
6.785054333333334	1	0	0
6.785115416666667	1	0	1
6.785115458333334	0	0	1
6.785176416666667	1	0	1
6.785237541666667	0	0	1
6.785237625000001	0	1	0
6.785298500000001	1	1	0
6.785359625000001	0	1	1
6.785359833333334	0	0	1
6.785420583333334	1	0	1
6.785481708333334	0	0	1
6.785481750000001	0	0	0
6.785542666666667	1	0	0
6.785603833333334	0	0	0
6.785603875000001	0	1	0
6.785664791666667	1	1	0
6.785725875000001	1	1	1
6.785725916666667	0	1	1
6.785726083333333	0	0	1
6.785786875000000	1	0	1
6.786253583333334	0	0	1
6.786253791666667	0	0	0
6.786314541666667	1	0	0
6.786375708333334	0	0	0
6.786436625000000	1	0	0
6.786497791666667	0	0	0
6.786558708333334	1	0	0
6.786619833333334	1	1	0
6.786619875000000	0	1	0
6.786680833333333	1	1	0
6.786741958333334	0	1	0
6.786802916666667	1	1	0
6.786864041666667	0	1	0
6.786925000000000	1	1	0
6.786986125000000	0	1	0
6.786986208333333	0	0	0
6.786986250000000	0	0	1
6.787047083333333	1	0	1
6.787108208333334	1	1	1
6.787108250000000	0	1	1
6.787108458333334	0	1	0
6.787169166666667	1	1	0
9.439796833333334	0	1	0
9.439797000000000	0	0	0
9.439857833333335	1	0	0
9.439918958333333	0	0	0
9.439979916666667	1	0	0
9.440041041666667	0	0	0
9.440102000000001	1	0	0
9.440163125000000	0	0	0
9.440224083333334	1	0	0
9.440285208333334	0	0	0
9.440346166666668	1	0	0
9.440407333333335	0	0	0
9.440468291666667	1	0	0
9.440529416666667	0	0	0
9.440590375000001	1	0	0
9.440651500000001	0	0	0
9.440712458333334	1	0	0
9.441181708333334	0	0	0
9.441181791666667	0	0	1
9.441242666666668	1	0	1
9.441303833333334	0	0	1
9.441364750000000	1	0	1
9.441425916666667	0	0	1
9.441486833333334	1	0	1
9.441548000000001	0	0	1
9.441548166666667	0	0	0
9.441608916666667	1	0	0
9.441670083333333	0	0	0
9.441670166666666	0	0	1
9.441731041666667	1	0	1
9.441792166666668	0	0	1
9.441853125000000	1	0	1
9.441914250000000	0	0	1
9.441975208333334	1	0	1
9.442036375000001	0	0	1
9.442097291666668	1	0	1
