Time [s],Packet ID,MOSI,MISO
2.087295583333333,,0x12,0x29
2.088670291666667,,0x1D,0x02
10.710452291666666,,0x00,0x00
10.711822958333334,,0x00,0x41
10.713260375000001,,0x00,0x00
10.714631041666667,,0x00,0x01
10.716007416666667,,0x01,0x00
10.717439125000000,,0x00,0xFF
10.718876541666667,,0x05,0xFF
10.720308250000000,,0x01,0xFF
10.721745708333334,,0x05,0xFF
10.723177375000001,,0x02,0xFF
10.724614833333334,,0x05,0xFF
10.726046500000001,,0x00,0xFF
10.727483958333334,,0x05,0xFF
10.728915666666667,,0x03,0xFF
10.730353083333334,,0x05,0xFF
10.731784791666668,,0x04,0xFF
10.733222250000001,,0x05,0xFF
10.734653916666666,,0x00,0xFF
10.736091375000001,,0x05,0xFF
10.737523041666666,,0x05,0xFF
10.738960499999999,,0x05,0xFF
10.740392208333333,,0x06,0xFF
10.741829624999999,,0x05,0xFF
10.743261333333333,,0x05,0xFF
10.744698791666666,,0x05,0xFF
10.746130458333333,,0xFF,0xFF
10.747567916666666,,0x00,0xFF
10.748999583333333,,0xFF,0xFF
10.750437041666666,,0xFF,0xFF
10.751868750000000,,0xFF,0xFF
10.753306166666666,,0xFF,0xFF
10.754921000000000,,0xFF,0xFF
10.756358458333333,,0xFF,0xFF
10.757790125000000,,0xFF,0xFF
10.759227583333333,,0xFF,0xFF
10.760659250000000,,0xFF,0xFF
10.762096708333333,,0xFF,0xFF
10.763528416666666,,0xFF,0xFF
10.764965875000000,,0xFF,0xFF
10.766397541666667,,0xFF,0xFF
10.767835000000000,,0xFF,0xFF
10.769266666666667,,0xFF,0xFF
10.770704125000000,,0xFF,0xFF
10.772135791666667,,0xFF,0xFF
10.773573250000000,,0xFF,0xFF
10.775004958333334,,0xFF,0xFF
10.776442416666667,,0xFF,0xFF
10.777874083333334,,0xFF,0xFF
10.779311541666667,,0xFF,0xFF
10.780743208333334,,0xFF,0xFF
10.782180666666667,,0xFF,0xFF
10.783612333333334,,0xFF,0xFF
10.785049833333334,,0xFF,0xFF
10.786481458333334,,0xFF,0xFF
10.787918958333334,,0x00,0xFF
10.789350625000001,,0x00,0xFF
10.790788083333334,,0x00,0xFF
10.792219749999999,,0x00,0xFF
10.793657208333334,,0x00,0xFF
10.795088874999999,,0x00,0xFF
10.796526374999999,,0x00,0xFF
10.797958000000000,,0x00,0xFF
10.799395499999999,,0x00,0xFF
10.800827166666666,,0x00,0xFF
10.802264624999999,,0x00,0xFF
10.803696291666666,,0x00,0xFF
10.805133750000000,,0x00,0xFF
10.806565416666666,,0x00,0xFF
10.808002916666666,,0x00,0xFF
10.809434541666667,,0x00,0xFF
10.810872041666666,,0x00,0xFF
10.812303708333333,,0x00,0xFF
10.813741166666667,,0x00,0xFF
10.815172833333333,,0x00,0xFF
10.816610291666667,,0x00,0xFF
10.818041958333334,,0x00,0xFF
10.819479458333333,,0x00,0xFF
10.820911083333334,,0x00,0xFF
10.822348583333333,,0x00,0xFF
10.823780208333334,,0x00,0xFF
10.825217708333334,,0x00,0xFF
10.826649375000001,,0x00,0xFF
10.828086833333334,,0x00,0xFF
10.829518500000001,,0x00,0xFF
10.830956000000000,,0x00,0xFF
10.832387625000001,,0x00,0xFF
10.833825125000001,,0x00,0xFF
10.835256749999999,,0x00,0xFF
10.836694250000001,,0x00,0xFF
10.838125874999999,,0x00,0xFF
10.839563374999999,,0x00,0xFF
10.840995041666666,,0x00,0xFF
10.842432541666666,,0x00,0xFF
10.843864166666666,,0x00,0xFF
10.845301666666666,,0x00,0xFF
10.846733291666666,,0x00,0xFF
10.848170791666666,,0x00,0xFF
10.849602416666666,,0x00,0xFF
10.851039916666666,,0x00,0xFF
10.852471583333333,,0x00,0xFF
10.853909083333333,,0x00,0xFF
10.855401750000000,,0x00,0xF5
10.856839250000000,,0x00,0xFF
10.858270875000001,,0x00,0xF2
10.859708375000000,,0x00,0xFF
10.861140000000001,,0x00,0xD5
10.862577541666667,,0x00,0xFF
10.864009166666667,,0x00,0xCA
10.865446666666667,,0x00,0xFF
10.866878291666668,,0x00,0xD5
10.868315791666667,,0x00,0xFF
10.869747416666666,,0x00,0xA0
10.871184916666667,,0x00,0xFF
10.872616541666666,,0x00,0xD5
10.874054083333334,,0x00,0xFF
10.875485708333333,,0x00,0xBF
10.876923208333332,,0x00,0xFF
10.878354833333333,,0x00,0x42
10.879792333333333,,0x00,0xFD
10.881223958333333,,0x00,0x00
10.882661458333333,,0x00,0xFF
10.884093083333333,,0x00,0x68
10.885530624999999,,0x00,0xD7
10.886962208333333,,0x00,0x02
10.888399750000000,,0x00,0xFC
10.889831375000000,,0x00,0x29
10.891268875000000,,0x00,0xD4
10.892700500000000,,0x00,0x02
10.894138000000000,,0x00,0xF8
10.895569625000000,,0x00,0x15
10.897007166666667,,0x00,0xF0
10.898438750000000,,0x00,0x0A
10.899876291666667,,0x00,0xF0
10.901307875000001,,0x00,0x17
10.902745416666667,,0x00,0xC0
10.904177041666667,,0x00,0xBF
10.905614541666667,,0x00,0x00
10.907046166666667,,0x00,0x55
10.908483708333334,,0x00,0x00
10.909915291666668,,0x00,0xFF
10.911352833333334,,0x00,0x00
10.912784416666666,,0x00,0x55
10.914221958333334,,0x00,0x00
10.915653583333333,,0x00,0xBB
10.917091083333334,,0x00,0x00
10.918522708333333,,0x00,0x55
10.919960250000001,,0x00,0x00
10.921391833333333,,0x00,0xAA
10.922829374999999,,0x00,0x00
10.924260958333333,,0x00,0x76
10.925698499999999,,0x00,0x01
10.927130083333333,,0x00,0xFF
10.928567624999999,,0x00,0x00
10.929999250000000,,0x00,0x55
10.931436791666666,,0x00,0x00
10.932868375000000,,0x00,0xFF
10.934305916666666,,0x00,0x00
10.935737500000000,,0x00,0x75
10.937175041666666,,0x00,0x00
10.938606625000000,,0x00,0xBF
10.940044166666667,,0x00,0x00
10.941475791666667,,0x00,0x55
10.942913333333333,,0x00,0x00
10.944344916666667,,0x00,0xFF
10.945782458333333,,0x00,0x00
10.947214041666667,,0x00,0xBF
10.948651583333334,,0x00,0x7F
10.950083166666667,,0x00,0x3F
10.951520708333334,,0x00,0xFF
10.952952333333334,,0x00,0xD5
10.954389875000000,,0x00,0x7F
10.955882500000000,,0x00,0xFE
10.957320041666666,,0x00,0x3F
10.958751625000000,,0x00,0x75
10.960189166666666,,0x00,0x1F
10.961620750000000,,0x00,0xFF
10.963058333333333,,0x00,0x0F
10.964489916666667,,0x00,0x57
10.965927458333333,,0x00,0x0C
10.967359041666667,,0x00,0xEC
10.968796583333333,,0x00,0x00
10.970228166666667,,0x00,0xFF
10.971665708333333,,0x00,0xFF
10.973097291666667,,0x00,0xFF
10.974534875000000,,0x00,0xFF
10.975966416666667,,0x00,0x57
10.977404000000000,,0x00,0xFC
10.978835583333334,,0x00,0xA8
10.980273125000000,,0x00,0xF0
10.981704708333334,,0x00,0x71
10.983142250000000,,0x00,0xC0
10.984573833333334,,0x00,0x00
10.986011416666667,,0x00,0x80
10.987442958333334,,0x00,0x15
10.988880541666667,,0x00,0x00
10.990312125000001,,0x00,0x0A
10.991749666666667,,0x00,0x00
10.993181249999999,,0x00,0xF5
10.994618791666667,,0x00,0xFF
10.996050374999999,,0x00,0xFB
10.997487958333334,,0x00,0x80
10.998919500000000,,0x00,0x45
11.000357083333334,,0x00,0x00
11.001788625000000,,0x00,0x0A
11.003226208333333,,0x00,0x00
11.004657791666666,,0x00,0x55
11.006095333333333,,0x00,0x00
11.007526916666666,,0x00,0x3B
11.008964499999999,,0x00,0x00
11.010396041666667,,0x00,0x55
11.011833625000000,,0x00,0x00
11.013265166666667,,0x00,0xAF
11.014702750000000,,0x00,0x00
11.016134333333333,,0x00,0xFD
11.017571875000000,,0x00,0xFF
11.019003458333334,,0x00,0x7F
11.020441041666666,,0x00,0xFF
11.021872583333334,,0x00,0xBD
11.023310166666667,,0x00,0x7F
11.024741708333334,,0x00,0xDE
11.026179291666667,,0x00,0x3F
11.027610833333334,,0x00,0x6F
11.029048416666667,,0x00,0x1F
11.030480000000001,,0x00,0xFE
11.031917583333334,,0x00,0x0F
11.033349125000001,,0x00,0x5D
11.034786708333334,,0x00,0x0F
11.036218249999999,,0x00,0xFE
11.037655833333334,,0x00,0x0F
11.039087374999999,,0x00,0x57
11.040524958333334,,0x00,0xFF
11.041956541666666,,0x00,0x3B
11.043394125000001,,0x00,0xFF
11.044825666666666,,0x00,0x55
11.046263250000001,,0x00,0xFF
11.047694791666666,,0x00,0xAE
11.049132374999999,,0x00,0xFF
11.050563916666666,,0x00,0x75
11.052001499999999,,0x00,0xFF
11.053433041666667,,0x00,0xEA
11.054870666666666,,0x00,0xFF
11.056363250000000,,0x00,0x55
11.057800833333333,,0x00,0xFF
11.059232375000001,,0x00,0xEA
11.060669958333333,,0x00,0xFF
11.062101500000001,,0x00,0xD5
11.063539125000000,,0x00,0xFF
11.064970625000001,,0x00,0xFF
