Time[s]	CLK	Serial IN	Serial OUT
0.000000000000000	1	0	1
0.933733333333333	0	0	1
0.933733375000000	0	0	0
0.933794291666667	1	0	0
0.933855416666667	0	0	0
0.933916375000000	1	0	0
0.933977500000000	1	0	1
0.933977541666667	0	0	1
0.934038458333333	1	0	1
0.934099583333333	0	0	1
0.934099666666667	0	1	0
0.934160583333333	1	1	0
0.934221666666667	1	1	1
0.934221708333333	0	1	1
0.934221875000000	0	0	1
0.934282666666667	1	0	1
0.934343791666667	0	0	1
0.934343833333333	0	0	0
0.934404750000000	1	0	0
0.934465916666667	0	1	0
0.934526833333333	1	1	0
0.934587958333333	0	1	1
0.934588166666667	0	0	1
0.934648916666667	1	0	1
0.935110000000000	0	0	1
0.935110166666667	0	0	0
0.935170958333333	1	0	0
0.935232083333333	1	1	0
0.935232125000000	0	1	0
0.935293083333333	1	1	0
0.935354166666667	0	1	0
0.935354250000000	0	0	0
0.935415166666667	1	0	0
0.935476250000000	1	1	0
0.935476333333333	0	1	0
0.935537250000000	1	1	0
0.935598375000000	0	1	0
0.935659333333333	1	1	0
0.935720458333333	0	1	0
0.935781416666667	1	1	0
0.935842583333333	0	1	0
0.935903541666667	1	1	0
0.935964625000000	0	1	0
0.935964750000000	0	0	1
0.936025625000000	1	0	1
