name,type,start_time,duration,"mosi","miso"
"SPI SO","result",8.25406708,0.000915625,0x00,0xFF
"SPI SI","result",8.25406708,0.000915625,0xFF,0x00
"SPI SO","result",8.25551854,0.000915625,0x00,0xFF
"SPI SI","result",8.25551854,0.000915625,0xFF,0x00
"SPI SO","result",8.25693621,0.000915625,0x00,0xFF
"SPI SI","result",8.25693621,0.000915625,0xFF,0x00
"SPI SO","result",8.25838771,0.000915625,0x00,0xFF
"SPI SI","result",8.25838771,0.000915625,0xFF,0x00
"SPI SO","result",8.25980533,0.000915666667,0x00,0xFF
"SPI SI","result",8.25980533,0.000915666667,0xFF,0x00
"SPI SO","result",8.26125683,0.000915625,0x00,0xFF
"SPI SI","result",8.26125683,0.000915625,0xFF,0x00
"SPI SO","result",8.2626745,0.000915625,0x00,0xFF
"SPI SI","result",8.2626745,0.000915625,0xFF,0x00
"SPI SO","result",8.264126,0.000915625,0x00,0xFF
"SPI SI","result",8.264126,0.000915625,0xFF,0x00
"SPI SO","result",8.26554362,0.000915625,0x00,0xFF
"SPI SI","result",8.26554362,0.000915625,0xFF,0x00
"SPI SO","result",8.26699512,0.000915625,0x00,0xFF
"SPI SI","result",8.26699512,0.000915625,0xFF,0x00
"SPI SO","result",8.26841275,0.000915625,0x00,0xFF
"SPI SI","result",8.26841275,0.000915625,0xFF,0x00
"SPI SO","result",8.26986425,0.000915625,0x00,0xFF
"SPI SI","result",8.26986425,0.000915625,0xFF,0x00
"SPI SO","result",8.27128188,0.000915625,0x00,0xFF
"SPI SI","result",8.27128188,0.000915625,0xFF,0x00
"SPI SO","result",8.27273342,0.000915625,0x00,0xFF
"SPI SI","result",8.27273342,0.000915625,0xFF,0x00
"SPI SO","result",8.274151,0.000915625,0x00,0xFF
"SPI SI","result",8.274151,0.000915625,0xFF,0x00
"SPI SO","result",8.27560254,0.000915625,0x00,0xFF
"SPI SI","result",8.27560254,0.000915625,0xFF,0x00
"SPI SO","result",8.27702012,0.000915666667,0x00,0xFF
"SPI SI","result",8.27702012,0.000915666667,0xFF,0x00
"SPI SO","result",8.27847171,0.000915625,0x00,0xFF
"SPI SI","result",8.27847171,0.000915625,0xFF,0x00
"SPI SO","result",8.27988929,0.000915625,0x00,0xFF
"SPI SI","result",8.27988929,0.000915625,0xFF,0x00
"SPI SO","result",8.28127979,0.000915625,0x00,0xFF
"SPI SI","result",8.28127979,0.000915625,0xFF,0x00
"SPI SO","result",8.28269737,0.000915625,0x00,0xFF
"SPI SI","result",8.28269737,0.000915625,0xFF,0x00
"SPI SO","result",8.28408788,0.000915625,0x00,0xFF
"SPI SI","result",8.28408788,0.000915625,0xFF,0x00
"SPI SO","result",8.28550546,0.000915625,0x00,0xFF
"SPI SI","result",8.28550546,0.000915625,0xFF,0x00
"SPI SO","result",8.28695704,0.000915625,0x00,0xFF
"SPI SI","result",8.28695704,0.000915625,0xFF,0x00
"SPI SO","result",8.28837458,0.000915625,0x00,0xFF
"SPI SI","result",8.28837458,0.000915625,0xFF,0x00
"SPI SO","result",8.28982617,0.000915625,0x00,0xFF
"SPI SI","result",8.28982617,0.000915625,0xFF,0x00
"SPI SO","result",8.29124371,0.000915625,0x00,0xFF
"SPI SI","result",8.29124371,0.000915625,0xFF,0x00
"SPI SO","result",8.29269529,0.000915625,0x00,0xFF
"SPI SI","result",8.29269529,0.000915625,0xFF,0x00
"SPI SO","result",8.29411283,0.000915625,0x00,0xFF
"SPI SI","result",8.29411283,0.000915625,0xFF,0x00
"SPI SO","result",8.29556446,0.000915625,0x00,0xFF
"SPI SI","result",8.29556446,0.000915625,0xFF,0x00
"SPI SO","result",8.29698196,0.000915666667,0x00,0xFF
"SPI SI","result",8.29698196,0.000915666667,0xFF,0x00
"SPI SO","result",8.29837254,0.000915625,0x00,0xFF
"SPI SI","result",8.29837254,0.000915625,0xFF,0x00
"SPI SO","result",8.29979004,0.000915666667,0x00,0xFF
"SPI SI","result",8.29979004,0.000915666667,0xFF,0x00
"SPI SO","result",8.30124167,0.000915625,0x00,0xFF
"SPI SI","result",8.30124167,0.000915625,0xFF,0x00
"SPI SO","result",8.30265921,0.000915625,0x00,0xFF
"SPI SI","result",8.30265921,0.000915625,0xFF,0x00
"SPI SO","result",8.30411083,0.000915625,0x00,0xFF
"SPI SI","result",8.30411083,0.000915625,0xFF,0x00
"SPI SO","result",8.30552833,0.000915625,0x00,0xFF
"SPI SI","result",8.30552833,0.000915625,0xFF,0x00
"SPI SO","result",8.30697996,0.000915625,0x00,0xFF
"SPI SI","result",8.30697996,0.000915625,0xFF,0x00
"SPI SO","result",8.30839746,0.000915625,0x00,0xFF
"SPI SI","result",8.30839746,0.000915625,0xFF,0x00
"SPI SO","result",8.30984912,0.000915625,0x00,0xFF
"SPI SI","result",8.30984912,0.000915625,0xFF,0x00
"SPI SO","result",8.31126658,0.000915625,0x00,0xFF
"SPI SI","result",8.31126658,0.000915625,0xFF,0x00
"SPI SO","result",8.31271825,0.000915625,0x00,0xFF
"SPI SI","result",8.31271825,0.000915625,0xFF,0x00
"SPI SO","result",8.31413571,0.000915625,0x00,0xFF
"SPI SI","result",8.31413571,0.000915625,0xFF,0x00
"SPI SO","result",8.31552633,0.000915625,0x00,0xFF
"SPI SI","result",8.31552633,0.000915625,0xFF,0x00
"SPI SO","result",8.31694379,0.000915666667,0x00,0xFF
"SPI SI","result",8.31694379,0.000915666667,0xFF,0x00
"SPI SO","result",8.3183955,0.000915625,0x00,0xFF
"SPI SI","result",8.3183955,0.000915625,0xFF,0x00
"SPI SO","result",8.31981292,0.000915666667,0x00,0xFF
"SPI SI","result",8.31981292,0.000915666667,0xFF,0x00
"SPI SO","result",8.32126462,0.000915625,0x00,0xFF
"SPI SI","result",8.32126462,0.000915625,0xFF,0x00
"SPI SO","result",8.32268208,0.000915625,0x00,0xFF
"SPI SI","result",8.32268208,0.000915625,0xFF,0x00
"SPI SO","result",8.32413375,0.000915625,0x00,0xFF
"SPI SI","result",8.32413375,0.000915625,0xFF,0x00
"SPI SO","result",8.32555121,0.000915625,0x00,0xFF
"SPI SI","result",8.32555121,0.000915625,0xFF,0x00
"SPI SO","result",8.32700292,0.000915625,0x00,0xFF
"SPI SI","result",8.32700292,0.000915625,0xFF,0x00
"SPI SO","result",8.32842033,0.000915625,0x00,0xFB
"SPI SI","result",8.32842033,0.000915625,0xFF,0x00
"SPI SO","result",8.32987204,0.000915625,0x00,0x7F
"SPI SI","result",8.32987204,0.000915625,0xFF,0x00
"SPI SO","result",8.33128946,0.000915625,0x00,0xFF
"SPI SI","result",8.33128946,0.000915625,0xFF,0x00
"SPI SO","result",8.33274121,0.000915625,0x00,0xFF
"SPI SI","result",8.33274121,0.000915625,0xFF,0x00
"SPI SO","result",8.33415858,0.000915625,0x00,0xEF
"SPI SI","result",8.33415858,0.000915625,0xFF,0x00
"SPI SO","result",8.33561033,0.000915625,0x00,0x7F
"SPI SI","result",8.33561033,0.000915625,0xFF,0x00
"SPI SO","result",8.33702771,0.000915666667,0x00,0xFF
"SPI SI","result",8.33702771,0.000915666667,0xFF,0x00
"SPI SO","result",8.33847946,0.000915625,0x00,0xFF
"SPI SI","result",8.33847946,0.000915625,0xFF,0x00
"SPI SO","result",8.33989688,0.000915625,0x00,0xF0
"SPI SI","result",8.33989688,0.000915625,0xFF,0x00
"SPI SO","result",8.34134863,0.000915625,0x00,0x7F
"SPI SI","result",8.34134863,0.000915625,0xFF,0x00
"SPI SO","result",8.342766,0.000915625,0x00,0xFF
"SPI SI","result",8.342766,0.000915625,0xFF,0x00
"SPI SO","result",8.34421775,0.000915625,0x00,0xFF
"SPI SI","result",8.34421775,0.000915625,0xFF,0x00
"SPI SO","result",8.34563512,0.000915625,0x00,0xFF
"SPI SI","result",8.34563512,0.000915625,0xFF,0x00
"SPI SO","result",8.34708688,0.000915625,0x00,0xFF
"SPI SI","result",8.34708688,0.000915625,0xFF,0x00
"SPI SO","result",8.34850425,0.000915625,0x00,0xE3
"SPI SI","result",8.34850425,0.000915625,0xFF,0x00
"SPI SO","result",8.34995604,0.000915625,0x00,0x7E
"SPI SI","result",8.34995604,0.000915625,0xFF,0x00
"SPI SO","result",8.35137337,0.000915625,0x00,0x80
"SPI SI","result",8.35137337,0.000915625,0xFF,0x00
"SPI SO","result",8.35282517,0.000915625,0x00,0x7F
"SPI SI","result",8.35282517,0.000915625,0xFF,0x00
"SPI SO","result",8.3542425,0.000915666667,0x00,0xFC
"SPI SI","result",8.3542425,0.000915666667,0xFF,0x00
"SPI SO","result",8.35569433,0.000915625,0x00,0x6B
"SPI SI","result",8.35569433,0.000915625,0xFF,0x00
"SPI SO","result",8.35711162,0.000915666667,0x00,0x83
"SPI SI","result",8.35711162,0.000915666667,0xFF,0x00
"SPI SO","result",8.35856346,0.000915625,0x00,0x7E
"SPI SI","result",8.35856346,0.000915625,0xFF,0x00
"SPI SO","result",8.35998079,0.000915625,0x00,0x3D
"SPI SI","result",8.35998079,0.000915625,0xFF,0x00
"SPI SO","result",8.36143258,0.000915625,0x00,0xEA
"SPI SI","result",8.36143258,0.000915625,0xFF,0x00
"SPI SO","result",8.36284992,0.000915625,0x00,0x03
"SPI SI","result",8.36284992,0.000915625,0xFF,0x00
"SPI SO","result",8.36430175,0.000915625,0x00,0x7C
"SPI SI","result",8.36430175,0.000915625,0xFF,0x00
"SPI SO","result",8.36571904,0.000915625,0x00,0x1F
"SPI SI","result",8.36571904,0.000915625,0xFF,0x00
"SPI SO","result",8.36717087,0.000915625,0x00,0xF8
"SPI SI","result",8.36717087,0.000915625,0xFF,0x00
"SPI SO","result",8.36858817,0.000915625,0x00,0x0F
"SPI SI","result",8.36858817,0.000915625,0xFF,0x00
"SPI SO","result",8.37004004,0.000915625,0x00,0x78
"SPI SI","result",8.37004004,0.000915625,0xFF,0x00
"SPI SO","result",8.37145729,0.000915666667,0x00,0x1F
"SPI SI","result",8.37145729,0.000915666667,0xFF,0x00
"SPI SO","result",8.37290917,0.000915625,0x00,0xE0
"SPI SI","result",8.37290917,0.000915625,0xFF,0x00
"SPI SO","result",8.37432646,0.000915625,0x00,0xFF
"SPI SI","result",8.37432646,0.000915625,0xFF,0x00
"SPI SO","result",8.37577829,0.000915625,0x00,0x80
"SPI SI","result",8.37577829,0.000915625,0xFF,0x00
"SPI SO","result",8.37719558,0.000915625,0x00,0x7F
"SPI SI","result",8.37719558,0.000915625,0xFF,0x00
"SPI SO","result",8.37864746,0.000915625,0x00,0x80
"SPI SI","result",8.37864746,0.000915625,0xFF,0x00
"SPI SO","result",8.38006471,0.000915625,0x00,0xFF
"SPI SI","result",8.38006471,0.000915625,0xFF,0x00
"SPI SO","result",8.38145554,0.000915625,0x00,0x80
"SPI SI","result",8.38145554,0.000915625,0xFF,0x00
"SPI SO","result",8.38287279,0.000915625,0x00,0x7F
"SPI SI","result",8.38287279,0.000915625,0xFF,0x00
"SPI SO","result",8.38426363,0.000915625,0x00,0x80
"SPI SI","result",8.38426363,0.000915625,0xFF,0x00
"SPI SO","result",8.38568088,0.000915625,0x00,0xFF
"SPI SI","result",8.38568088,0.000915625,0xFF,0x00
"SPI SO","result",8.38713279,0.000915625,0x00,0x80
"SPI SI","result",8.38713279,0.000915625,0xFF,0x00
"SPI SO","result",8.38855,0.000915625,0x00,0x7F
"SPI SI","result",8.38855,0.000915625,0xFF,0x00
"SPI SO","result",8.39000192,0.000915625,0x00,0x80
"SPI SI","result",8.39000192,0.000915625,0xFF,0x00
"SPI SO","result",8.39141913,0.000915625,0x00,0xFF
"SPI SI","result",8.39141913,0.000915625,0xFF,0x00
"SPI SO","result",8.39287104,0.000915666667,0x00,0x00
"SPI SI","result",8.39287104,0.000915666667,0xFF,0x00
"SPI SO","result",8.39428825,0.000915666667,0x00,0x7F
"SPI SI","result",8.39428825,0.000915666667,0xFF,0x00
"SPI SO","result",8.39574021,0.000915625,0x00,0x00
"SPI SI","result",8.39574021,0.000915625,0xFF,0x00
"SPI SO","result",8.39715738,0.000915666667,0x00,0xFF
"SPI SI","result",8.39715738,0.000915666667,0xFF,0x00
"SPI SO","result",8.39860933,0.000915625,0x00,0x80
"SPI SI","result",8.39860933,0.000915625,0xFF,0x00
"SPI SO","result",8.40002654,0.000915625,0x00,0x7F
"SPI SI","result",8.40002654,0.000915625,0xFF,0x00
"SPI SO","result",8.4014785,0.000915625,0x00,0x80
"SPI SI","result",8.4014785,0.000915625,0xFF,0x00
"SPI SO","result",8.40289567,0.000915625,0x00,0xFF
"SPI SI","result",8.40289567,0.000915625,0xFF,0x00
"SPI SO","result",8.40434762,0.000915625,0x00,0x80
"SPI SI","result",8.40434762,0.000915625,0xFF,0x00
"SPI SO","result",8.40576479,0.000915625,0x00,0x7F
"SPI SI","result",8.40576479,0.000915625,0xFF,0x00
"SPI SO","result",8.40721675,0.000915625,0x00,0x80
"SPI SI","result",8.40721675,0.000915625,0xFF,0x00
"SPI SO","result",8.40863392,0.000915625,0x00,0xFF
"SPI SI","result",8.40863392,0.000915625,0xFF,0x00
"SPI SO","result",8.41008592,0.000915625,0x00,0x80
"SPI SI","result",8.41008592,0.000915625,0xFF,0x00
"SPI SO","result",8.41150304,0.000915666667,0x00,0x7F
"SPI SI","result",8.41150304,0.000915666667,0xFF,0x00
"SPI SO","result",8.41295504,0.000915625,0x00,0x80
"SPI SI","result",8.41295504,0.000915625,0xFF,0x00
"SPI SO","result",8.41437221,0.000915625,0x00,0xFF
"SPI SI","result",8.41437221,0.000915625,0xFF,0x00
"SPI SO","result",8.41576312,0.000915625,0x00,0x80
"SPI SI","result",8.41576312,0.000915625,0xFF,0x00
"SPI SO","result",8.41718029,0.000915625,0x00,0xFF
"SPI SI","result",8.41718029,0.000915625,0xFF,0x00
"SPI SO","result",8.41863229,0.000915625,0x00,0xBF
"SPI SI","result",8.41863229,0.000915625,0xFF,0x00
"SPI SO","result",8.42004938,0.000915666667,0x00,0xBF
"SPI SI","result",8.42004938,0.000915666667,0xFF,0x00
"SPI SO","result",8.42150142,0.000915625,0x00,0xFF
"SPI SI","result",8.42150142,0.000915625,0xFF,0x00
"SPI SO","result",8.42291854,0.000915625,0x00,0xFF
"SPI SI","result",8.42291854,0.000915625,0xFF,0x00
"SPI SO","result",8.42437058,0.000915625,0x00,0xBF
"SPI SI","result",8.42437058,0.000915625,0xFF,0x00
"SPI SO","result",8.42578767,0.000915625,0x00,0xFF
"SPI SI","result",8.42578767,0.000915625,0xFF,0x00
"SPI SO","result",8.42723971,0.000915625,0x00,0x1F
"SPI SI","result",8.42723971,0.000915625,0xFF,0x00
"SPI SO","result",8.42865679,0.000915625,0x00,0xFF
"SPI SI","result",8.42865679,0.000915625,0xFF,0x00
"SPI SO","result",8.43010883,0.000915625,0x00,0x8F
"SPI SI","result",8.43010883,0.000915625,0xFF,0x00
"SPI SO","result",8.43152592,0.000915666667,0x00,0xFF
"SPI SI","result",8.43152592,0.000915666667,0xFF,0x00
"SPI SO","result",8.43291696,0.000915625,0x00,0x87
"SPI SI","result",8.43291696,0.000915625,0xFF,0x00
"SPI SO","result",8.434334,0.000915666667,0x00,0xFF
"SPI SI","result",8.434334,0.000915666667,0xFF,0x00
"SPI SO","result",8.43578608,0.000915625,0x00,0x86
"SPI SI","result",8.43578608,0.000915625,0xFF,0x00
"SPI SO","result",8.43720317,0.000915625,0x00,0xFE
"SPI SI","result",8.43720317,0.000915625,0xFF,0x00
"SPI SO","result",8.43865521,0.000915625,0x00,0x00
"SPI SI","result",8.43865521,0.000915625,0xFF,0x00
"SPI SO","result",8.44007229,0.000915625,0x00,0xFF
"SPI SI","result",8.44007229,0.000915625,0xFF,0x00
"SPI SO","result",8.44152438,0.000915625,0x00,0xFF
"SPI SI","result",8.44152438,0.000915625,0xFF,0x00
"SPI SO","result",8.44294142,0.000915625,0x00,0xFF
"SPI SI","result",8.44294142,0.000915625,0xFF,0x00
"SPI SO","result",8.4443935,0.000915625,0x00,0xFF
"SPI SI","result",8.4443935,0.000915625,0xFF,0x00
"SPI SO","result",8.44581054,0.000915625,0x00,0xFF
"SPI SI","result",8.44581054,0.000915625,0xFF,0x00
"SPI SO","result",8.44726267,0.000915625,0x00,0xFE
"SPI SI","result",8.44726267,0.000915625,0xFF,0x00
"SPI SO","result",8.44867971,0.000915583333,0x00,0xFC
"SPI SI","result",8.44867971,0.000915583333,0xFF,0x00
"SPI SO","result",8.45007075,0.000915625,0x00,0x78
"SPI SI","result",8.45007075,0.000915625,0xFF,0x00
"SPI SO","result",8.45148775,0.000915666667,0x00,0x79
"SPI SI","result",8.45148775,0.000915666667,0xFF,0x00
"SPI SO","result",8.45293988,0.000915625,0x00,0xE0
"SPI SI","result",8.45293988,0.000915625,0xFF,0x00
"SPI SO","result",8.45435688,0.000915666667,0x00,0x00
"SPI SI","result",8.45435688,0.000915666667,0xFF,0x00
"SPI SO","result",8.45580904,0.000915625,0x00,0x40
"SPI SI","result",8.45580904,0.000915625,0xFF,0x00
"SPI SO","result",8.45722604,0.000915625,0x00,0x1F
"SPI SI","result",8.45722604,0.000915625,0xFF,0x00
"SPI SO","result",8.45867817,0.000915625,0x00,0x80
"SPI SI","result",8.45867817,0.000915625,0xFF,0x00
"SPI SO","result",8.46009517,0.000915625,0x00,0x0F
"SPI SI","result",8.46009517,0.000915625,0xFF,0x00
"SPI SO","result",8.46154729,0.000915625,0x00,0x00
"SPI SI","result",8.46154729,0.000915625,0xFF,0x00
"SPI SO","result",8.46296429,0.000915625,0x00,0xFF
"SPI SI","result",8.46296429,0.000915625,0xFF,0x00
"SPI SO","result",8.46441646,0.000915625,0x00,0xFF
"SPI SI","result",8.46441646,0.000915625,0xFF,0x00
"SPI SO","result",8.46583342,0.000915625,0x00,0xFF
"SPI SI","result",8.46583342,0.000915625,0xFF,0x00
"SPI SO","result",8.46728558,0.000915625,0x00,0xC0
"SPI SI","result",8.46728558,0.000915625,0xFF,0x00
"SPI SO","result",8.46870254,0.000915625,0x00,0x67
"SPI SI","result",8.46870254,0.000915625,0xFF,0x00
"SPI SO","result",8.47015475,0.000915625,0x00,0x80
"SPI SI","result",8.47015475,0.000915625,0xFF,0x00
"SPI SO","result",8.47157167,0.000915666667,0x00,0x0F
"SPI SI","result",8.47157167,0.000915666667,0xFF,0x00
"SPI SO","result",8.47296283,0.000915625,0x00,0x00
"SPI SI","result",8.47296283,0.000915625,0xFF,0x00
"SPI SO","result",8.47437975,0.000915666667,0x00,0x7F
"SPI SI","result",8.47437975,0.000915666667,0xFF,0x00
"SPI SO","result",8.47577092,0.000915625,0x00,0x80
