Time[s]	CLK	Serial IN	Serial OUT
0.000000000000000	1	0	1
1.105449291666667	0	0	1
1.105449458333333	0	0	0
1.105510250000000	1	0	0
1.105571375000000	0	0	0
1.105632333333333	1	0	0
1.105693416666667	1	1	0
1.105693500000000	0	1	0
1.105754416666667	1	1	0
1.105815541666667	0	1	0
1.105815625000000	0	1	1
1.105815666666667	0	0	1
1.105876500000000	1	0	1
1.105937625000000	1	1	1
1.105937666666667	0	1	1
1.105937875000000	0	1	0
1.105998625000000	1	1	0
1.106059750000000	0	1	0
1.106059791666667	0	0	0
1.106120708333333	1	0	0
1.106181833333333	0	0	0
1.106181916666667	0	0	1
1.106242791666667	1	0	1
1.106303875000000	1	1	1
1.106303958333333	0	1	1
1.106304125000000	0	1	0
1.106364875000000	1	1	0
1.106826666666667	0	1	0
1.106887625000000	1	1	0
1.106948791666667	0	1	0
1.107009750000000	1	1	0
1.107070875000000	0	1	0
1.107071000000000	0	0	0
1.107131833333333	1	0	0
1.107192958333333	0	0	0
1.107193000000000	0	1	0
1.107253916666667	1	1	0
1.107315041666667	0	1	0
1.107376000000000	1	1	0
1.107437125000000	0	1	0
1.107498083333333	1	1	0
1.107559208333333	0	1	0
1.107620166666667	1	1	0
1.107681291666667	1	1	1
1.107681333333333	0	1	1
1.107681500000000	0	0	1
1.107742291666667	1	0	1
