Time [s],Packet ID,MOSI,MISO
1.707794083333333,0,0x00,0x88
1.708892875000000,0,0x00,0x33
1.710052750000000,0,0x00,0x01
1.711212583333333,0,0x00,0x00
1.712372458333333,0,0x00,0x00
1.713532333333333,0,0x00,0x00
1.714692208333333,0,0x00,0x01
1.715852041666667,0,0x00,0x00
1.717011916666667,0,0x81,0x00
1.718171791666667,0,0x00,0x00
1.775188166666667,0,0x00,0x88
1.776286958333333,0,0x00,0x33
1.777446791666667,0,0x00,0x04
1.778606708333333,0,0x00,0x00
1.779766541666667,0,0x00,0x80
1.780926416666667,0,0x00,0x02
1.782086291666667,0,0x00,0xFF
1.783246125000000,0,0x00,0xFF
1.784406000000000,0,0x00,0xFF
1.785565875000000,0,0x00,0xFF
1.786725708333333,0,0x00,0xFF
1.787885583333333,0,0x00,0xFF
1.789045458333333,0,0x00,0xFF
1.790205291666667,0,0x00,0xFF
1.791365166666667,0,0x00,0xFF
1.792525041666667,0,0x00,0xFF
1.793684875000000,0,0x00,0xFF
1.794844750000000,0,0x00,0xFF
1.796004625000000,0,0x00,0xFF
1.797164458333333,0,0x00,0xFF
1.798324333333333,0,0x00,0xFF
1.799484208333333,0,0x00,0xFF
1.800644041666667,0,0x00,0xFF
1.801803916666667,0,0x00,0xFF
1.802963791666667,0,0x00,0xFF
1.804123625000000,0,0x00,0xFF
1.805283500000000,0,0x00,0xFF
1.806443375000000,0,0x00,0xFF
1.807603208333333,0,0x00,0xFF
1.808763083333333,0,0x00,0xFF
1.809922958333333,0,0x00,0xFF
1.811082833333333,0,0x00,0xFF
1.812242666666667,0,0x00,0xFF
1.813402541666667,0,0x00,0xFF
1.814562416666667,0,0x00,0xFF
1.815722250000000,0,0x00,0xFF
1.816882125000000,0,0x00,0xFF
1.818042000000000,0,0x00,0xFF
1.819201833333333,0,0x00,0xFF
1.820361708333333,0,0x00,0xFF
1.821521583333333,0,0x00,0xFF
1.822681416666667,0,0x00,0xFF
1.823841291666667,0,0x00,0xFF
1.825001166666667,0,0x00,0xFF
1.826161000000000,0,0x00,0xFF
1.827320875000000,0,0x00,0xFF
1.828480750000000,0,0x00,0xFF
1.829640583333333,0,0x00,0xFF
1.830800458333333,0,0x00,0xFF
1.831960333333333,0,0x00,0xFF
1.833120166666667,0,0x00,0xFF
1.834280041666667,0,0x00,0xFF
1.835439916666667,0,0x00,0xFF
1.836599791666667,0,0x00,0xFF
1.837759625000000,0,0x00,0xFF
1.838919500000000,0,0x00,0xFF
1.840079375000000,0,0x00,0xFF
1.841239208333333,0,0x00,0xFF
1.842399083333333,0,0x00,0xFF
1.843558958333333,0,0x00,0xFF
1.844718791666667,0,0x00,0xFF
1.845878666666667,0,0x00,0xFF
1.847038541666667,0,0x00,0xFF
1.848198375000000,0,0x00,0xFF
1.849358250000000,0,0x00,0xFF
1.850518125000000,0,0x00,0xFF
1.851677958333333,0,0x00,0xFF
1.852837833333333,0,0x00,0xFF
1.853997708333333,0,0x00,0xFF
1.855157541666667,0,0x00,0xFF
1.856317416666667,0,0x00,0xFF
1.857477291666667,0,0x00,0xFF
1.858637125000000,0,0x00,0xFF
1.859797000000000,0,0x00,0xFF
1.860956875000000,0,0x00,0xFF
1.862116750000000,0,0x00,0xFF
1.863276583333333,0,0x00,0xFF
1.864436458333333,0,0x00,0xFF
1.865596333333333,0,0x00,0xFF
1.866756166666667,0,0x00,0xFF
1.867916041666667,0,0x00,0xFF
1.869075916666667,0,0x00,0xFF
1.870235750000000,0,0x00,0xFF
1.871395625000000,0,0x00,0xFF
1.872555500000000,0,0x00,0xFF
1.873715333333333,0,0x00,0xFF
1.874875208333333,0,0x00,0xFF
1.876035083333333,0,0x00,0xFF
1.877194916666667,0,0x00,0xFF
1.878354791666667,0,0x00,0xFF
1.879514666666667,0,0x00,0xFE
